State,main,paramStart,paramEnd,id,comma,opAtrib,term,opAccess,fAdd,fRemove,fSort,fUpper,fLower,fLength,fRefresh,fDiff_dates,fCollectData,fCompare,tInt,tFloat,tString,tBool,tCommit,tUser,tRepository,tFile,tIssue,tPullRequest,tComment,tDate,tInts,tFloats,tStrings,tBools,tCommits,tUsers,tRepositories,tFiles,tIssues,tPullRequests,tComments,tDates,tVoid,prWrite,prRead,prWhile,prFor,in,prIf,prElse,escStart,escEnd,opConc,opLogicOr,opLogicAnd,opRel1,opRel2,opRel3,opAritAd,opAritMul,opNeg,tLitInt,tLitFloat,tLitBool,tLitString,prReturn,$
76,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,r69,r69,,r69,,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,r69,r69,r69,r69,,r69,r69,,r69,,,,,,,,,,r69,r69,r69,r69,r69,r69
82,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,,s44,s45,s46,s47,,s48,s49,,s41,,,,,,,,,,s65,s66,s67,s68,s50,
83,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
84,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
85,r71,r71,,r71,,,,,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,,r71,r71,r71,r71,,r71,r71,,r71,,,,,,,,,,r71,r71,r71,r71,r71,r71
86,r72,r72,,r72,,,,,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,,r72,r72,r72,r72,,r72,r72,,r72,,,,,,,,,,r72,r72,r72,r72,r72,r72
87,,,,,,s110,s112,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
89,,,,,,s83,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,
90,s70,,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s35,,s84,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s117,,,,,,,,,,,,,,,,,,,
